PROVINSI,TANGGAL,HARGA_BERAS
DAERAH ISTIMEWA YOGYAKARTA,2020-07-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2020-08-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2020-09-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2020-10-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2020-11-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2020-12-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2021-01-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2021-02-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2021-03-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2021-04-01,11300.0
DAERAH ISTIMEWA YOGYAKARTA,2021-05-01,11150.0
DAERAH ISTIMEWA YOGYAKARTA,2021-06-01,11150.0
DAERAH ISTIMEWA YOGYAKARTA,2021-07-01,11150.0
DAERAH ISTIMEWA YOGYAKARTA,2021-08-01,11150.0
DAERAH ISTIMEWA YOGYAKARTA,2021-09-01,11150.0
DAERAH ISTIMEWA YOGYAKARTA,2021-10-01,11200.0
DAERAH ISTIMEWA YOGYAKARTA,2021-11-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2021-12-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-01-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-02-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-03-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-04-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-05-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-06-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-07-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-08-01,11250.0
DAERAH ISTIMEWA YOGYAKARTA,2022-09-01,11400.0
DAERAH ISTIMEWA YOGYAKARTA,2022-10-01,11450.0
DAERAH ISTIMEWA YOGYAKARTA,2022-11-01,11650.0
DAERAH ISTIMEWA YOGYAKARTA,2022-12-01,12200.0
DAERAH ISTIMEWA YOGYAKARTA,2023-01-01,12450.0
DAERAH ISTIMEWA YOGYAKARTA,2023-02-01,12900.0
DAERAH ISTIMEWA YOGYAKARTA,2023-03-01,13050.0
DAERAH ISTIMEWA YOGYAKARTA,2023-04-01,13050.0
DAERAH ISTIMEWA YOGYAKARTA,2023-05-01,13050.0
DAERAH ISTIMEWA YOGYAKARTA,2023-06-01,13050.0
DAERAH ISTIMEWA YOGYAKARTA,2023-07-01,13050.0
DAERAH ISTIMEWA YOGYAKARTA,2023-08-01,13200.0
DAERAH ISTIMEWA YOGYAKARTA,2023-09-01,13700.0
DAERAH ISTIMEWA YOGYAKARTA,2023-10-01,13800.0
DAERAH ISTIMEWA YOGYAKARTA,2023-11-01,13900.0
DAERAH ISTIMEWA YOGYAKARTA,2023-12-01,14000.0
DAERAH ISTIMEWA YOGYAKARTA,2024-01-01,14050.0
DAERAH ISTIMEWA YOGYAKARTA,2024-02-01,15200.0
DAERAH ISTIMEWA YOGYAKARTA,2024-03-01,15300.0
DAERAH ISTIMEWA YOGYAKARTA,2024-04-01,15150.0
DAERAH ISTIMEWA YOGYAKARTA,2024-05-01,14900.0
DAERAH ISTIMEWA YOGYAKARTA,2024-06-01,14250.0
DAERAH ISTIMEWA YOGYAKARTA,2024-07-01,14250.0
DAERAH ISTIMEWA YOGYAKARTA,2024-08-01,14250.0
DAERAH ISTIMEWA YOGYAKARTA,2024-09-01,14250.0
DAERAH ISTIMEWA YOGYAKARTA,2024-10-01,14250.0
DAERAH ISTIMEWA YOGYAKARTA,2024-11-01,14200.0
DAERAH ISTIMEWA YOGYAKARTA,2024-12-01,14150.0
DAERAH ISTIMEWA YOGYAKARTA,2025-01-01,14150.0
DAERAH ISTIMEWA YOGYAKARTA,2025-02-01,14150.0
DAERAH ISTIMEWA YOGYAKARTA,2025-03-01,14300.0
DAERAH ISTIMEWA YOGYAKARTA,2025-04-01,14300.0
DAERAH ISTIMEWA YOGYAKARTA,2025-05-01,14300.0
DAERAH ISTIMEWA YOGYAKARTA,2025-06-01,14300.0
DAERAH ISTIMEWA YOGYAKARTA,2025-07-01,14450.0
DAERAH ISTIMEWA YOGYAKARTA,2025-08-01,14450.0
DAERAH ISTIMEWA YOGYAKARTA,2025-09-01,14250.0
DAERAH ISTIMEWA YOGYAKARTA,2025-10-01,14200.0
DAERAH ISTIMEWA YOGYAKARTA,2025-11-01,14200.0
DAERAH ISTIMEWA YOGYAKARTA,2025-12-01,14200.0
DKI JAKARTA,2019-01-01,12950.0
DKI JAKARTA,2019-02-01,12900.0
DKI JAKARTA,2019-03-01,12750.0
DKI JAKARTA,2019-04-01,12600.0
DKI JAKARTA,2019-05-01,12600.0
DKI JAKARTA,2019-06-01,12600.0
DKI JAKARTA,2019-07-01,12600.0
