KODE_PROV,PROVINSI,TAHUN,IKP,PERINGKAT,KELOMPOK_IKP,KERENTANAN
52,NUSA TENGGARA BARAT,2021,75.67,16,6,Sangat Tahan
52,NUSA TENGGARA BARAT,2022,76.58,13,6,Sangat Tahan
52,NUSA TENGGARA BARAT,2023,76.51,15,6,Sangat Tahan
52,NUSA TENGGARA BARAT,2024,78.44,14,6,Sangat Tahan
52,NUSA TENGGARA BARAT,2025,74.69632821,11,5,Tahan
53,NUSA TENGGARA TIMUR,2019,50.69,32,3,Agak Rentan
53,NUSA TENGGARA TIMUR,2020,66.92,28,5,Tahan
53,NUSA TENGGARA TIMUR,2021,67.35,28,5,Tahan
53,NUSA TENGGARA TIMUR,2022,68.42,27,5,Tahan
53,NUSA TENGGARA TIMUR,2023,71.25,26,5,Tahan
53,NUSA TENGGARA TIMUR,2024,70.91,26,5,Tahan
53,NUSA TENGGARA TIMUR,2025,58.24444334,32,3,Agak Rentan
94,PAPUA,2019,25.13,34,1,Sangat Rentan
94,PAPUA,2020,34.79,34,1,Sangat Rentan
94,PAPUA,2021,35.48,34,1,Sangat Rentan
94,PAPUA,2022,37.8,34,2,Rentan
94,PAPUA,2023,42.27,34,2,Rentan
94,PAPUA,2024,40.21,34,2,Rentan
91,PAPUA,2025,57.45401658,33,3,Agak Rentan
91,PAPUA BARAT,2019,30.12,33,1,Sangat Rentan
91,PAPUA BARAT,2020,49.4,33,3,Agak Rentan
91,PAPUA BARAT,2021,46.05,33,2,Rentan
91,PAPUA BARAT,2022,45.92,33,2,Rentan
91,PAPUA BARAT,2023,47.95,33,2,Rentan
91,PAPUA BARAT,2024,51.36,33,3,Agak Rentan
92,PAPUA BARAT,2025,58.60756849,30,3,Agak Rentan
96,PAPUA BARAT DAYA,2025,57.15459159,35,3,Agak Rentan
95,PAPUA PEGUNUNGAN,2025,31.96276302,38,1,Sangat Rentan
93,PAPUA SELATAN,2025,53.96446544,36,3,Agak Rentan
94,PAPUA TENGAH,2025,41.60923467,37,2,Rentan
14,RIAU,2019,62.37,25,4,Agak Tahan
14,RIAU,2020,64.12,29,4,Agak Tahan
14,RIAU,2021,66.84,29,5,Tahan
14,RIAU,2022,67.59,29,5,Tahan
14,RIAU,2023,68.68,29,5,Tahan
14,RIAU,2024,70.42,27,5,Tahan
14,RIAU,2025,70.41900349,23,5,Tahan
76,SULAWESI BARAT,2019,60.37,27,4,Agak Tahan
76,SULAWESI BARAT,2020,76.36,15,6,Sangat Tahan
76,SULAWESI BARAT,2021,75.49,17,6,Sangat Tahan
76,SULAWESI BARAT,2022,74.04,17,5,Tahan
76,SULAWESI BARAT,2023,73.03,21,5,Tahan
76,SULAWESI BARAT,2024,71.99,25,5,Tahan
76,SULAWESI BARAT,2025,67.07631489,29,4,Agak Tahan
73,SULAWESI SELATAN,2019,78.69,5,6,Sangat Tahan
73,SULAWESI SELATAN,2020,81.81,3,6,Sangat Tahan
73,SULAWESI SELATAN,2021,80.82,4,6,Sangat Tahan
73,SULAWESI SELATAN,2022,81.38,3,6,Sangat Tahan
73,SULAWESI SELATAN,2023,83.36,4,6,Sangat Tahan
73,SULAWESI SELATAN,2024,83.82,7,6,Sangat Tahan
73,SULAWESI SELATAN,2025,74.29750861,12,5,Tahan
72,SULAWESI TENGAH,2019,68.17,20,5,Tahan
72,SULAWESI TENGAH,2020,75.1,17,6,Sangat Tahan
72,SULAWESI TENGAH,2021,75.73,15,6,Sangat Tahan
72,SULAWESI TENGAH,2022,75.92,14,6,Sangat Tahan
72,SULAWESI TENGAH,2023,75.83,17,6,Sangat Tahan
72,SULAWESI TENGAH,2024,76.87,16,6,Sangat Tahan
72,SULAWESI TENGAH,2025,70.39814533,24,5,Tahan
74,SULAWESI TENGGARA,2019,76.99,6,6,Sangat Tahan
74,SULAWESI TENGGARA,2020,77.06,13,6,Sangat Tahan
74,SULAWESI TENGGARA,2021,76.64,14,6,Sangat Tahan
74,SULAWESI TENGGARA,2022,75.04,15,6,Sangat Tahan
74,SULAWESI TENGGARA,2023,74.96,18,6,Sangat Tahan
74,SULAWESI TENGGARA,2024,76.68,17,6,Sangat Tahan
74,SULAWESI TENGGARA,2025,67.55545479,28,4,Agak Tahan
71,SULAWESI UTARA,2019,81.44,3,6,Sangat Tahan
71,SULAWESI UTARA,2020,77.79,11,6,Sangat Tahan
71,SULAWESI UTARA,2021,78.3,9,6,Sangat Tahan
71,SULAWESI UTARA,2022,74.3,16,5,Tahan
71,SULAWESI UTARA,2023,77.32,14,6,Sangat Tahan
71,SULAWESI UTARA,2024,76.32,18,6,Sangat Tahan
71,SULAWESI UTARA,2025,72.49022073,18,5,Tahan
13,SUMATERA BARAT,2019,75.43,9,6,Sangat Tahan
13,SUMATERA BARAT,2020,78.64,8,6,Sangat Tahan
13,SUMATERA BARAT,2021,79.55,8,6,Sangat Tahan
13,SUMATERA BARAT,2022,79.45,8,6,Sangat Tahan
13,SUMATERA BARAT,2023,83.22,5,6,Sangat Tahan
13,SUMATERA BARAT,2024,84.32,4,6,Sangat Tahan
13,SUMATERA BARAT,2025,77.72382799,7,5,Tahan
16,SUMATERA SELATAN,2019,69.3,17,5,Tahan
16,SUMATERA SELATAN,2020,68.67,27,5,Tahan
16,SUMATERA SELATAN,2021,69.55,27,5,Tahan
16,SUMATERA SELATAN,2022,69.64,25,5,Tahan
16,SUMATERA SELATAN,2023,73.82,20,5,Tahan
16,SUMATERA SELATAN,2024,74.07,21,5,Tahan
16,SUMATERA SELATAN,2025,79.30967013,4,5,Tahan
12,SUMATERA UTARA,2019,69.81,16,5,Tahan
12,SUMATERA UTARA,2020,71.84,21,5,Tahan
12,SUMATERA UTARA,2021,72.25,23,5,Tahan
12,SUMATERA UTARA,2022,71.22,20,5,Tahan
12,SUMATERA UTARA,2023,75.97,16,6,Sangat Tahan
12,SUMATERA UTARA,2024,77.49,15,6,Sangat Tahan
12,SUMATERA UTARA,2025,71.46633133,22,5,Tahan
